question,original_result,generated_cypher,generated_result
What are the top 5 highest rated movies based on votes?,"[{""m.title"": ""The Matrix Reloaded"", ""m.votes"": 1905}, {""m.title"": ""The Matrix Revolutions"", ""m.votes"": 1566}, {""m.title"": ""Top Gun"", ""m.votes"": 545}, {""m.title"": ""A Few Good Men"", ""m.votes"": 485}, {""m.title"": ""The Da Vinci Code"", ""m.votes"": 308}]","MATCH (m:Movie) RETURN m.title AS Movie, m.votes AS Votes ORDER BY m.votes DESC LIMIT 5;","[{""Movie"": ""The Matrix Reloaded"", ""Votes"": 1906}, {""Movie"": ""The Matrix Revolutions"", ""Votes"": 1577}, {""Movie"": ""Top Gun"", ""Votes"": 545}, {""Movie"": ""A Few Good Men"", ""Votes"": 485}, {""Movie"": ""The Da Vinci Code"", ""Votes"": 308}]"
List the top 5 movies with a tagline containing 'football'.,[],"MATCH (m:Movie) WHERE toLower(m.tagline) CONTAINS 'football' RETURN m.title AS Movie, m.tagline AS Tagline ORDER BY m.title LIMIT 5;",[]
What are the common roles for Keanu Reeves across all his movies?,"[{""p.name"": ""Keanu Reeves"", ""role"": ""Neo"", ""times_played"": 3}, {""p.name"": ""Keanu Reeves"", ""role"": ""Julian Mercer"", ""times_played"": 1}, {""p.name"": ""Keanu Reeves"", ""role"": ""Shane Falco"", ""times_played"": 1}, {""p.name"": ""Keanu Reeves"", ""role"": ""Johnny Mnemonic"", ""times_played"": 1}, {""p.name"": ""Keanu Reeves"", ""role"": ""Kevin Lomax"", ""times_played"": 1}]","MATCH (p:Person {name: ""Keanu Reeves""})-[r:ACTED_IN]->(m:Movie) WITH r.roles AS Roles UNWIND Roles AS role RETURN role AS CommonRole, COUNT(role) AS RoleCount ORDER BY RoleCount DESC LIMIT 50;","[{""CommonRole"": ""Neo"", ""RoleCount"": 3}, {""CommonRole"": ""Julian Mercer"", ""RoleCount"": 1}, {""CommonRole"": ""Shane Falco"", ""RoleCount"": 1}, {""CommonRole"": ""Johnny Mnemonic"", ""RoleCount"": 1}, {""CommonRole"": ""Kevin Lomax"", ""RoleCount"": 1}]"
Find movies with the tagline 'Welcome to the Real World'.,"[{""m.title"": ""The Matrix""}]","MATCH (m:Movie {tagline: ""Welcome to the Real World""}) RETURN m.title AS Movie, m.released AS Released, m.votes AS Votes LIMIT 50;","[{""Movie"": ""The Matrix"", ""Released"": 1999, ""Votes"": 165}]"
List the movies that have been both directed and produced by the same person.,"[{""movie"": ""Jerry Maguire""}, {""movie"": ""When Harry Met Sally""}, {""movie"": ""Something's Gotta Give""}]","MATCH (p:Person)-[d:DIRECTED]->(m:Movie)<-[pr:PRODUCED]-(p) RETURN p.name AS Person, m.title AS Movie LIMIT 50;","[{""Movie"": ""Jerry Maguire"", ""Person"": ""Cameron Crowe""}, {""Movie"": ""When Harry Met Sally"", ""Person"": ""Rob Reiner""}, {""Movie"": ""Something's Gotta Give"", ""Person"": ""Nancy Meyers""}]"
Who has the highest average review rating?,"[{""p.name"": ""James Thompson"", ""avg_rating"": 82.5}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WITH p, AVG(r.rating) AS average_rating RETURN p.name AS Reviewer, average_rating AS AverageRating ORDER BY average_rating DESC LIMIT 1;","[{""AverageRating"": 82.5, ""Reviewer"": ""James Thompson""}]"
List three movies reviewed with a rating above 90.,"[{""m.title"": ""Jerry Maguire""}, {""m.title"": ""The Replacements""}, {""m.title"": ""Cloud Atlas""}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE r.rating > 90 RETURN m.title AS Movie, r.rating AS Rating, r.summary AS Summary ORDER BY r.rating DESC LIMIT 3;","[{""Movie"": ""The Replacements"", ""Rating"": 100, ""Summary"": ""The coolest football movie ever""}, {""Movie"": ""Cloud Atlas"", ""Rating"": 95, ""Summary"": ""An amazing journey""}, {""Movie"": ""Jerry Maguire"", ""Rating"": 92, ""Summary"": ""You had me at Jerry""}]"
List the roles played by actors in the first 3 movies directed by Nancy Meyers.,"[{""MovieTitle"": ""Something's Gotta Give"", ""ActorName"": ""Keanu Reeves"", ""Roles"": [""Julian Mercer""]}, {""MovieTitle"": ""Something's Gotta Give"", ""ActorName"": ""Diane Keaton"", ""Roles"": [""Erica Barry""]}, {""MovieTitle"": ""Something's Gotta Give"", ""ActorName"": ""Jack Nicholson"", ""Roles"": [""Harry Sanborn""]}]","MATCH (d:Person {name: ""Nancy Meyers""})-[dir:DIRECTED]->(m:Movie) WITH d, m ORDER BY m.released ASC LIMIT 3 OPTIONAL MATCH (p:Person)-[r:ACTED_IN]->(m) RETURN m.title AS Movie, p.name AS Actor, r.roles AS Roles LIMIT 50;","[{""Actor"": ""Keanu Reeves"", ""Movie"": ""Something's Gotta Give"", ""Roles"": [""Julian Mercer""]}, {""Actor"": ""Diane Keaton"", ""Movie"": ""Something's Gotta Give"", ""Roles"": [""Erica Barry""]}, {""Actor"": ""Jack Nicholson"", ""Movie"": ""Something's Gotta Give"", ""Roles"": [""Harry Sanborn""]}]"
Who are the top 3 producers of movies with a tagline including 'Speed'?,"[{""producer"": ""Joel Silver"", ""movie_count"": 1}]","MATCH (p:Person)-[:PRODUCED]->(m:Movie) WHERE toLower(m.tagline) CONTAINS ""speed"" WITH p, COUNT(m) AS movie_count ORDER BY movie_count DESC RETURN p.name AS Producer, movie_count AS MoviesProduced LIMIT 3;","[{""MoviesProduced"": 1, ""Producer"": ""Joel Silver""}]"
What is the average rating difference between movies directed by the same person?,"[{""average_rating_difference"": null}]","MATCH (p:Person)-[:DIRECTED]->(m:Movie) OPTIONAL MATCH (p)-[rev:REVIEWED]->(m) WITH p, m, AVG(rev.rating) AS avg_rating WITH p, COLLECT(avg_rating) AS ratings WITH p, ratings, REDUCE(diff = 0, i IN RANGE(0, SIZE(ratings) - 2) | diff + ABS(ratings[i] - ratings[i + 1])) AS total_diff, SIZE(ratings) AS count WHERE count > 1 RETURN p.name AS Director, total_diff / (count - 1) AS AverageRatingDifference ORDER BY AverageRatingDifference DESC LIMIT 50;",[]
Who are the top 3 actors in terms of movies acted in from 1990 to 2000?,"[{""actor"": ""Tom Hanks"", ""movieCount"": 8}, {""actor"": ""Cuba Gooding Jr."", ""movieCount"": 4}, {""actor"": ""Keanu Reeves"", ""movieCount"": 4}]","MATCH (p:Person)-[:ACTED_IN]->(m:Movie) WHERE m.released >= 1990 AND m.released <= 2000 WITH p, COUNT(m) AS movie_count ORDER BY movie_count DESC RETURN p.name AS Actor, movie_count AS MoviesCount LIMIT 3;","[{""Actor"": ""Tom Hanks"", ""MoviesCount"": 8}, {""Actor"": ""Cuba Gooding Jr."", ""MoviesCount"": 4}, {""Actor"": ""Keanu Reeves"", ""MoviesCount"": 4}]"
Who reviewed the most movies?,"[{""p.name"": ""Jessica Thompson"", ""movies_reviewed"": 6}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WITH p, COUNT(m) AS movies_reviewed ORDER BY movies_reviewed DESC RETURN p.name AS Reviewer, movies_reviewed AS MoviesReviewed LIMIT 1;","[{""MoviesReviewed"": 6, ""Reviewer"": ""Jessica Thompson""}]"
What are the top 5 movies with the least votes and their release years?,"[{""m.title"": ""Frost/Nixon"", ""m.released"": 2008, ""m.votes"": 1}, {""m.title"": ""RescueDawn"", ""m.released"": 2006, ""m.votes"": 13}, {""m.title"": ""Ninja Assassin"", ""m.released"": 2009, ""m.votes"": 15}, {""m.title"": ""The Replacements"", ""m.released"": 2000, ""m.votes"": 24}, {""m.title"": ""Charlie Wilson's War"", ""m.released"": 2007, ""m.votes"": 25}]","MATCH (m:Movie) RETURN m.title AS Movie, m.released AS ReleaseYear, m.votes AS Votes ORDER BY m.votes ASC LIMIT 5;","[{""Movie"": ""Frost/Nixon"", ""ReleaseYear"": 2008, ""Votes"": 1}, {""Movie"": ""RescueDawn"", ""ReleaseYear"": 2006, ""Votes"": 13}, {""Movie"": ""Ninja Assassin"", ""ReleaseYear"": 2009, ""Votes"": 15}, {""Movie"": ""The Replacements"", ""ReleaseYear"": 2000, ""Votes"": 24}, {""Movie"": ""Charlie Wilson's War"", ""ReleaseYear"": 2007, ""Votes"": 25}]"
Which 3 directors have directed the most movies released after 2005?,"[{""director"": ""Lilly Wachowski"", ""num_movies"": 2}, {""director"": ""Lana Wachowski"", ""num_movies"": 2}, {""director"": ""Ron Howard"", ""num_movies"": 2}]","MATCH (p:Person)-[:DIRECTED]->(m:Movie) WHERE m.released > 2005 WITH p, COUNT(m) AS movie_count ORDER BY movie_count DESC LIMIT 3 RETURN p.name AS Director, movie_count AS MoviesDirected;","[{""Director"": ""Lilly Wachowski"", ""MoviesDirected"": 2}, {""Director"": ""Lana Wachowski"", ""MoviesDirected"": 2}, {""Director"": ""Ron Howard"", ""MoviesDirected"": 2}]"
Who are the top 3 actors by number of followers?,"[{""actor.name"": ""Jessica Thompson"", ""followers"": 2}, {""actor.name"": ""Angela Scope"", ""followers"": 1}]",,"""Sorry, I couldn't find an answer to your question"""
Name 3 movies reviewed with a rating over 90.,"[{""MovieTitle"": ""Jerry Maguire""}, {""MovieTitle"": ""The Replacements""}, {""MovieTitle"": ""Cloud Atlas""}]","MATCH (m:Movie)<-[r:REVIEWED]-(p:Person) WHERE r.rating > 90 RETURN m.title AS Movie, r.rating AS Rating, r.summary AS Summary ORDER BY r.rating DESC LIMIT 3;","[{""Movie"": ""The Replacements"", ""Rating"": 100, ""Summary"": ""The coolest football movie ever""}, {""Movie"": ""Cloud Atlas"", ""Rating"": 95, ""Summary"": ""An amazing journey""}, {""Movie"": ""Jerry Maguire"", ""Rating"": 92, ""Summary"": ""You had me at Jerry""}]"
"What is the average number of votes for movies released in the same year ""Speed Racer"" was released?","[{""averageVotes"": 15.5}]","MATCH (m:Movie {title: ""Speed Racer""}) WITH m.released AS release_year MATCH (m2:Movie {released: release_year}) RETURN AVG(m2.votes) AS AverageVotes LIMIT 1;","[{""AverageVotes"": 15.5}]"
Name the first 3 people born before 1950 who have written a movie with a tagline mentioning 'journey'.,[],,"""Sorry, I couldn't find an answer to your question"""
Name 3 directors who have directed movies with the least number of votes.,"[{""director"": ""Ron Howard""}, {""director"": ""Werner Herzog""}, {""director"": ""James Marshall""}]","MATCH (p:Person)-[:DIRECTED]->(m:Movie) WITH p, m, m.votes AS Votes ORDER BY Votes ASC RETURN DISTINCT p.name AS Director, COLLECT(m.title) AS Movies, Votes LIMIT 3;","[{""Director"": ""Ron Howard"", ""Movies"": [""Frost/Nixon""], ""Votes"": 1}, {""Director"": ""Werner Herzog"", ""Movies"": [""RescueDawn""], ""Votes"": 13}, {""Director"": ""James Marshall"", ""Movies"": [""Ninja Assassin""], ""Votes"": 15}]"
List the actors born before 1960.,"[{""p.name"": ""Max von Sydow""}, {""p.name"": ""Gene Hackman""}, {""p.name"": ""Richard Harris""}, {""p.name"": ""Clint Eastwood""}, {""p.name"": ""Mike Nichols""}, {""p.name"": ""Milos Forman""}, {""p.name"": ""Tom Skerritt""}, {""p.name"": ""Jack Nicholson""}, {""p.name"": ""Frank Langella""}, {""p.name"": ""Ian McKellen""}, {""p.name"": ""Al Pacino""}, {""p.name"": ""James L. Brooks""}, {""p.name"": ""James Cromwell""}, {""p.name"": ""John Hurt""}, {""p.name"": ""Jim Cash""}, {""p.name"": ""Nora Ephron""}, {""p.name"": ""Marshall Bell""}, {""p.name"": ""Werner Herzog""}, {""p.name"": ""J.T. Walsh""}, {""p.name"": ""Jan de Bont""}, {""p.name"": ""Penny Marshall""}, {""p.name"": ""Taylor Hackford""}, {""p.name"": ""Tony Scott""}, {""p.name"": ""Danny DeVito""}, {""p.name"": ""Stephen Rea""}, {""p.name"": ""Susan Sarandon""}, {""p.name"": ""Diane Keaton""}, {""p.name"": ""Rob Reiner""}, {""p.name"": ""Takeshi Kitano""}, {""p.name"": ""Christopher Guest""}, {""p.name"": ""Billy Crystal""}, {""p.name"": ""Victor Garber""}, {""p.name"": ""Bruno Kirby""}, {""p.name"": ""Jim Broadbent""}, {""p.name"": ""Nancy Meyers""}, {""p.name"": ""John Patrick Stanley""}, {""p.name"": ""Howard Deutch""}, {""p.name"": ""Ed Harris""}, {""p.name"": ""Robin Williams""}, {""p.name"": ""Robert Zemeckis""}, {""p.name"": ""Joel Silver""}, {""p.name"": ""Scott Hicks""}, {""p.name"": ""Bill Pullman""}, {""p.name"": ""Robert Longo""}, {""p.name"": ""David Morse""}, {""p.name"": ""Zach Grenier""}, {""p.name"": ""Ron Howard""}, {""p.name"": ""Madonna""}, {""p.name"": ""Gary Sinise""}, {""p.name"": ""Bill Paxton""}, {""p.name"": ""Vincent Ward""}, {""p.name"": ""Tom Hanks""}, {""p.name"": ""Rita Wilson""}, {""p.name"": ""Nathan Lane""}, {""p.name"": ""Carrie Fisher""}, {""p.name"": ""Geena Davis""}, {""p.name"": ""Kevin Pollak""}, {""p.name"": ""Kelly McGillis""}, {""p.name"": ""Cameron Crowe""}, {""p.name"": ""Michael Clarke Duncan""}, {""p.name"": ""Kevin Bacon""}, {""p.name"": ""Ice-T""}, {""p.name"": ""Chris Columbus""}, {""p.name"": ""Val Kilmer""}, {""p.name"": ""Patricia Clarkson""}, {""p.name"": ""Frank Darabont""}]","MATCH (p:Person) WHERE p.born < 1960 RETURN p.name AS Actor, p.born AS BirthYear ORDER BY p.born LIMIT 50;","[{""Actor"": ""Max von Sydow"", ""BirthYear"": 1929}, {""Actor"": ""Gene Hackman"", ""BirthYear"": 1930}, {""Actor"": ""Richard Harris"", ""BirthYear"": 1930}, {""Actor"": ""Clint Eastwood"", ""BirthYear"": 1930}, {""Actor"": ""Mike Nichols"", ""BirthYear"": 1931}, {""Actor"": ""Milos Forman"", ""BirthYear"": 1932}, {""Actor"": ""Tom Skerritt"", ""BirthYear"": 1933}, {""Actor"": ""Jack Nicholson"", ""BirthYear"": 1937}, {""Actor"": ""Frank Langella"", ""BirthYear"": 1938}, {""Actor"": ""Ian McKellen"", ""BirthYear"": 1939}, {""Actor"": ""Al Pacino"", ""BirthYear"": 1940}, {""Actor"": ""James L. Brooks"", ""BirthYear"": 1940}, {""Actor"": ""James Cromwell"", ""BirthYear"": 1940}, {""Actor"": ""John Hurt"", ""BirthYear"": 1940}, {""Actor"": ""Jim Cash"", ""BirthYear"": 1941}, {""Actor"": ""Nora Ephron"", ""BirthYear"": 1941}, {""Actor"": ""Marshall Bell"", ""BirthYear"": 1942}, {""Actor"": ""Werner Herzog"", ""BirthYear"": 1942}, {""Actor"": ""J.T. Walsh"", ""BirthYear"": 1943}, {""Actor"": ""Jan de Bont"", ""BirthYear"": 1943}, {""Actor"": ""Penny Marshall"", ""BirthYear"": 1943}, {""Actor"": ""Taylor Hackford"", ""BirthYear"": 1944}, {""Actor"": ""Tony Scott"", ""BirthYear"": 1944}, {""Actor"": ""Danny DeVito"", ""BirthYear"": 1944}, {""Actor"": ""Stephen Rea"", ""BirthYear"": 1946}, {""Actor"": ""Susan Sarandon"", ""BirthYear"": 1946}, {""Actor"": ""Diane Keaton"", ""BirthYear"": 1946}, {""Actor"": ""Rob Reiner"", ""BirthYear"": 1947}, {""Actor"": ""Takeshi Kitano"", ""BirthYear"": 1947}, {""Actor"": ""Christopher Guest"", ""BirthYear"": 1948}, {""Actor"": ""Billy Crystal"", ""BirthYear"": 1948}, {""Actor"": ""Victor Garber"", ""BirthYear"": 1949}, {""Actor"": ""Bruno Kirby"", ""BirthYear"": 1949}, {""Actor"": ""Jim Broadbent"", ""BirthYear"": 1949}, {""Actor"": ""Nancy Meyers"", ""BirthYear"": 1949}, {""Actor"": ""John Patrick Stanley"", ""BirthYear"": 1950}, {""Actor"": ""Howard Deutch"", ""BirthYear"": 1950}, {""Actor"": ""Ed Harris"", ""BirthYear"": 1950}, {""Actor"": ""Robin Williams"", ""BirthYear"": 1951}, {""Actor"": ""Robert Zemeckis"", ""BirthYear"": 1951}, {""Actor"": ""Joel Silver"", ""BirthYear"": 1952}, {""Actor"": ""Scott Hicks"", ""BirthYear"": 1953}, {""Actor"": ""Bill Pullman"", ""BirthYear"": 1953}, {""Actor"": ""Robert Longo"", ""BirthYear"": 1953}, {""Actor"": ""David Morse"", ""BirthYear"": 1953}, {""Actor"": ""Zach Grenier"", ""BirthYear"": 1954}, {""Actor"": ""Ron Howard"", ""BirthYear"": 1954}, {""Actor"": ""Madonna"", ""BirthYear"": 1954}, {""Actor"": ""Gary Sinise"", ""BirthYear"": 1955}, {""Actor"": ""Bill Paxton"", ""BirthYear"": 1955}]"
Who are the top 3 actors in terms of the diversity of roles played?,"[{""actor"": ""Tom Hanks"", ""roleDiversity"": 12}, {""actor"": ""Keanu Reeves"", ""roleDiversity"": 5}, {""actor"": ""Jack Nicholson"", ""roleDiversity"": 5}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WITH p, COLLECT(DISTINCT r.roles) AS roles_list, COUNT(DISTINCT r.roles) AS role_count RETURN p.name AS Actor, role_count AS DiversityOfRoles ORDER BY DiversityOfRoles DESC LIMIT 3;","[{""Actor"": ""Tom Hanks"", ""DiversityOfRoles"": 12}, {""Actor"": ""Keanu Reeves"", ""DiversityOfRoles"": 5}, {""Actor"": ""Jack Nicholson"", ""DiversityOfRoles"": 5}]"
Which people have written and directed the same movie?,"[{""p.name"": ""Cameron Crowe""}, {""p.name"": ""Lana Wachowski""}, {""p.name"": ""Lilly Wachowski""}, {""p.name"": ""Nancy Meyers""}]","MATCH (p:Person)-[w:WROTE]->(m:Movie)<-[d:DIRECTED]-(p2:Person) WHERE p <> p2 RETURN p.name AS Writer, p2.name AS Director, m.title AS Movie LIMIT 50;","[{""Director"": ""Rob Reiner"", ""Movie"": ""A Few Good Men"", ""Writer"": ""Aaron Sorkin""}, {""Director"": ""Tony Scott"", ""Movie"": ""Top Gun"", ""Writer"": ""Jim Cash""}, {""Director"": ""Rob Reiner"", ""Movie"": ""When Harry Met Sally"", ""Writer"": ""Nora Ephron""}, {""Director"": ""Tom Tykwer"", ""Movie"": ""Cloud Atlas"", ""Writer"": ""David Mitchell""}, {""Director"": ""Lana Wachowski"", ""Movie"": ""Cloud Atlas"", ""Writer"": ""David Mitchell""}, {""Director"": ""Lilly Wachowski"", ""Movie"": ""Cloud Atlas"", ""Writer"": ""David Mitchell""}, {""Director"": ""James Marshall"", ""Movie"": ""V for Vendetta"", ""Writer"": ""Lana Wachowski""}, {""Director"": ""James Marshall"", ""Movie"": ""V for Vendetta"", ""Writer"": ""Lilly Wachowski""}, {""Director"": ""Lilly Wachowski"", ""Movie"": ""Speed Racer"", ""Writer"": ""Lana Wachowski""}, {""Director"": ""Lana Wachowski"", ""Movie"": ""Speed Racer"", ""Writer"": ""Lilly Wachowski""}]"
"List all the movies with the summary ""A solid romp"".","[{""m.title"": ""The Da Vinci Code""}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE toLower(r.summary) = ""a solid romp"" RETURN m.title AS Movie, p.name AS Reviewer, r.summary AS Summary, r.rating AS Rating ORDER BY m.title LIMIT 50;","[{""Movie"": ""The Da Vinci Code"", ""Rating"": 68, ""Reviewer"": ""Jessica Thompson"", ""Summary"": ""A solid romp""}]"
Which people were born between 1940 and 1960?,"[{""p.name"": ""Al Pacino"", ""p.born"": 1940}, {""p.name"": ""James L. Brooks"", ""p.born"": 1940}, {""p.name"": ""James Cromwell"", ""p.born"": 1940}, {""p.name"": ""John Hurt"", ""p.born"": 1940}, {""p.name"": ""Jim Cash"", ""p.born"": 1941}, {""p.name"": ""Nora Ephron"", ""p.born"": 1941}, {""p.name"": ""Marshall Bell"", ""p.born"": 1942}, {""p.name"": ""Werner Herzog"", ""p.born"": 1942}, {""p.name"": ""J.T. Walsh"", ""p.born"": 1943}, {""p.name"": ""Jan de Bont"", ""p.born"": 1943}, {""p.name"": ""Penny Marshall"", ""p.born"": 1943}, {""p.name"": ""Taylor Hackford"", ""p.born"": 1944}, {""p.name"": ""Tony Scott"", ""p.born"": 1944}, {""p.name"": ""Danny DeVito"", ""p.born"": 1944}, {""p.name"": ""Stephen Rea"", ""p.born"": 1946}, {""p.name"": ""Susan Sarandon"", ""p.born"": 1946}, {""p.name"": ""Diane Keaton"", ""p.born"": 1946}, {""p.name"": ""Rob Reiner"", ""p.born"": 1947}, {""p.name"": ""Takeshi Kitano"", ""p.born"": 1947}, {""p.name"": ""Christopher Guest"", ""p.born"": 1948}, {""p.name"": ""Billy Crystal"", ""p.born"": 1948}, {""p.name"": ""Victor Garber"", ""p.born"": 1949}, {""p.name"": ""Bruno Kirby"", ""p.born"": 1949}, {""p.name"": ""Jim Broadbent"", ""p.born"": 1949}, {""p.name"": ""Nancy Meyers"", ""p.born"": 1949}, {""p.name"": ""John Patrick Stanley"", ""p.born"": 1950}, {""p.name"": ""Howard Deutch"", ""p.born"": 1950}, {""p.name"": ""Ed Harris"", ""p.born"": 1950}, {""p.name"": ""Robin Williams"", ""p.born"": 1951}, {""p.name"": ""Robert Zemeckis"", ""p.born"": 1951}, {""p.name"": ""Joel Silver"", ""p.born"": 1952}, {""p.name"": ""Scott Hicks"", ""p.born"": 1953}, {""p.name"": ""Bill Pullman"", ""p.born"": 1953}, {""p.name"": ""Robert Longo"", ""p.born"": 1953}, {""p.name"": ""David Morse"", ""p.born"": 1953}, {""p.name"": ""Zach Grenier"", ""p.born"": 1954}, {""p.name"": ""Ron Howard"", ""p.born"": 1954}, {""p.name"": ""Madonna"", ""p.born"": 1954}, {""p.name"": ""Gary Sinise"", ""p.born"": 1955}, {""p.name"": ""Bill Paxton"", ""p.born"": 1955}, {""p.name"": ""Vincent Ward"", ""p.born"": 1956}, {""p.name"": ""Tom Hanks"", ""p.born"": 1956}, {""p.name"": ""Rita Wilson"", ""p.born"": 1956}, {""p.name"": ""Nathan Lane"", ""p.born"": 1956}, {""p.name"": ""Carrie Fisher"", ""p.born"": 1956}, {""p.name"": ""Geena Davis"", ""p.born"": 1956}, {""p.name"": ""Kevin Pollak"", ""p.born"": 1957}, {""p.name"": ""Kelly McGillis"", ""p.born"": 1957}, {""p.name"": ""Cameron Crowe"", ""p.born"": 1957}, {""p.name"": ""Michael Clarke Duncan"", ""p.born"": 1957}, {""p.name"": ""Kevin Bacon"", ""p.born"": 1958}, {""p.name"": ""Ice-T"", ""p.born"": 1958}, {""p.name"": ""Chris Columbus"", ""p.born"": 1958}, {""p.name"": ""Val Kilmer"", ""p.born"": 1959}, {""p.name"": ""Patricia Clarkson"", ""p.born"": 1959}, {""p.name"": ""Frank Darabont"", ""p.born"": 1959}, {""p.name"": ""Hugo Weaving"", ""p.born"": 1960}, {""p.name"": ""Annabella Sciorra"", ""p.born"": 1960}, {""p.name"": ""John Goodman"", ""p.born"": 1960}, {""p.name"": ""Oliver Platt"", ""p.born"": 1960}]","MATCH (p:Person) WHERE p.born >= 1940 AND p.born <= 1960 RETURN p.name AS Name, p.born AS BirthYear ORDER BY p.born LIMIT 50;","[{""BirthYear"": 1940, ""Name"": ""Al Pacino""}, {""BirthYear"": 1940, ""Name"": ""James L. Brooks""}, {""BirthYear"": 1940, ""Name"": ""James Cromwell""}, {""BirthYear"": 1940, ""Name"": ""John Hurt""}, {""BirthYear"": 1941, ""Name"": ""Jim Cash""}, {""BirthYear"": 1941, ""Name"": ""Nora Ephron""}, {""BirthYear"": 1942, ""Name"": ""Marshall Bell""}, {""BirthYear"": 1942, ""Name"": ""Werner Herzog""}, {""BirthYear"": 1943, ""Name"": ""J.T. Walsh""}, {""BirthYear"": 1943, ""Name"": ""Jan de Bont""}, {""BirthYear"": 1943, ""Name"": ""Penny Marshall""}, {""BirthYear"": 1944, ""Name"": ""Taylor Hackford""}, {""BirthYear"": 1944, ""Name"": ""Tony Scott""}, {""BirthYear"": 1944, ""Name"": ""Danny DeVito""}, {""BirthYear"": 1946, ""Name"": ""Stephen Rea""}, {""BirthYear"": 1946, ""Name"": ""Susan Sarandon""}, {""BirthYear"": 1946, ""Name"": ""Diane Keaton""}, {""BirthYear"": 1947, ""Name"": ""Rob Reiner""}, {""BirthYear"": 1947, ""Name"": ""Takeshi Kitano""}, {""BirthYear"": 1948, ""Name"": ""Christopher Guest""}, {""BirthYear"": 1948, ""Name"": ""Billy Crystal""}, {""BirthYear"": 1949, ""Name"": ""Victor Garber""}, {""BirthYear"": 1949, ""Name"": ""Bruno Kirby""}, {""BirthYear"": 1949, ""Name"": ""Jim Broadbent""}, {""BirthYear"": 1949, ""Name"": ""Nancy Meyers""}, {""BirthYear"": 1950, ""Name"": ""John Patrick Stanley""}, {""BirthYear"": 1950, ""Name"": ""Howard Deutch""}, {""BirthYear"": 1950, ""Name"": ""Ed Harris""}, {""BirthYear"": 1951, ""Name"": ""Robin Williams""}, {""BirthYear"": 1951, ""Name"": ""Robert Zemeckis""}, {""BirthYear"": 1952, ""Name"": ""Joel Silver""}, {""BirthYear"": 1953, ""Name"": ""Scott Hicks""}, {""BirthYear"": 1953, ""Name"": ""Bill Pullman""}, {""BirthYear"": 1953, ""Name"": ""Robert Longo""}, {""BirthYear"": 1953, ""Name"": ""David Morse""}, {""BirthYear"": 1954, ""Name"": ""Zach Grenier""}, {""BirthYear"": 1954, ""Name"": ""Ron Howard""}, {""BirthYear"": 1954, ""Name"": ""Madonna""}, {""BirthYear"": 1955, ""Name"": ""Gary Sinise""}, {""BirthYear"": 1955, ""Name"": ""Bill Paxton""}, {""BirthYear"": 1956, ""Name"": ""Vincent Ward""}, {""BirthYear"": 1956, ""Name"": ""Tom Hanks""}, {""BirthYear"": 1956, ""Name"": ""Rita Wilson""}, {""BirthYear"": 1956, ""Name"": ""Nathan Lane""}, {""BirthYear"": 1956, ""Name"": ""Carrie Fisher""}, {""BirthYear"": 1956, ""Name"": ""Geena Davis""}, {""BirthYear"": 1957, ""Name"": ""Kevin Pollak""}, {""BirthYear"": 1957, ""Name"": ""Kelly McGillis""}, {""BirthYear"": 1957, ""Name"": ""Cameron Crowe""}, {""BirthYear"": 1957, ""Name"": ""Michael Clarke Duncan""}]"
What are the first 3 movies where Nancy Meyers was involved as a writer and their release years?,"[{""MovieTitle"": ""Something's Gotta Give"", ""ReleaseYear"": 2003}]","MATCH (p:Person {name: ""Nancy Meyers""})-[r:WROTE]->(m:Movie) RETURN m.title AS Movie, m.released AS ReleaseYear ORDER BY m.released LIMIT 3;","[{""Movie"": ""Something's Gotta Give"", ""ReleaseYear"": 2003}]"
